Name (Original Name),User Email,Join Time,Leave Time,Duration (Minutes),Guest
Amara Osei,amara.osei@example.org,2026-10-01 18:06:00,2026-10-01 19:04:00,58,No
Ben Ortiz,ben.ortiz@example.org,2026-10-01 18:04:00,2026-10-01 18:51:00,47,No
Chidi Nwosu,chidi.nwosu@example.org,2026-10-01 18:00:00,2026-10-01 19:02:00,62,No
Dana Reyes,dana.reyes@example.org,2026-10-01 18:01:00,2026-10-01 18:59:00,58,No
Eli Kaufman,eli.kaufman@example.org,2026-10-01 18:06:00,2026-10-01 18:18:00,12,No
Farah Haddad,farah.haddad@example.org,2026-10-01 18:00:00,2026-10-01 18:47:00,47,No
Grace Lin,grace.lin@example.org,2026-10-01 18:05:00,2026-10-01 19:00:00,55,No
Hugo Marchetti,hugo.marchetti@example.org,2026-10-01 18:03:00,2026-10-01 19:01:00,58,No
Imani Brooks,imani.brooks@example.org,2026-10-01 18:06:00,2026-10-01 19:07:00,61,No
Keiko Tanaka,keiko.tanaka@example.org,2026-10-01 18:00:00,2026-10-01 18:58:00,58,No
Luis Salazar,luis.salazar@example.org,2026-10-01 18:01:00,2026-10-01 18:13:00,12,No
Noor Abadi,noor.abadi@example.org,2026-10-01 18:03:00,2026-10-01 18:15:00,12,No
