Name (Original Name),User Email,Join Time,Leave Time,Duration (Minutes),Guest
Amara Osei,amara.osei@example.org,2026-09-10 18:05:00,2026-09-10 19:03:00,58,No
Ben Ortiz,ben.ortiz@example.org,2026-09-10 18:03:00,2026-09-10 18:50:00,47,No
Chidi Nwosu,chidi.nwosu@example.org,2026-09-10 18:05:00,2026-09-10 19:06:00,61,No
Dana Reyes,dana.reyes@example.org,2026-09-10 18:01:00,2026-09-10 18:59:00,58,No
Eli Kaufman,eli.kaufman@example.org,2026-09-10 18:03:00,2026-09-10 18:50:00,47,No
Farah Haddad,farah.haddad@example.org,2026-09-10 18:04:00,2026-09-10 18:59:00,55,No
Grace Lin,grace.lin@example.org,2026-09-10 18:05:00,2026-09-10 19:07:00,62,No
Hugo Marchetti,hugo.marchetti@example.org,2026-09-10 18:04:00,2026-09-10 19:02:00,58,No
Jonas Petrov,jonas.petrov@example.org,2026-09-10 18:05:00,2026-09-10 19:00:00,55,No
Maya Rahman,maya.rahman@example.org,2026-09-10 18:06:00,2026-09-10 18:53:00,47,No
